school_name,division,conference,classification,details,base_url,new_url
Academy of Art,D2,PacWest,DNS_DEAD,DNS resolution failed for artusports.com,https://artusports.com,
Agnes Scott,D3,USA South,DNS_DEAD,DNS resolution failed for scotties.agnesscott.edu,https://scotties.agnesscott.edu,
Albany St. (GA),D2,SIAC,PARKED_DOMAIN,Parked domain (matched: 'parked'),https://asurams.com,
Alderson Broaddus,D2,G-MAC,DNS_DEAD,DNS resolution failed for abbattlers.com,https://abbattlers.com,
Alfred,D3,Empire 8,DNS_DEAD,DNS resolution failed for alfredathletics.com,https://alfredathletics.com,
Anderson (SC),D2,SAC,NO_BASEBALL,No baseball references found on athletics site,https://andersontrojans.com,
Arkansas-Monticello,D2,GAC,DNS_DEAD,DNS resolution failed for uamboilweevils.com,https://uamboilweevils.com,
Azusa Pacific,D2,PacWest,REDIRECT_DOMAIN,Redirects to athletics.apu.edu (was apucougars.com),https://apucougars.com,https://athletics.apu.edu
Berea,D3,USA South,DNS_DEAD,DNS resolution failed for bereamountaineers.com,https://bereamountaineers.com,
Black Hills St.,D2,RMAC,DNS_DEAD,DNS resolution failed for bhsuyellowjackets.com,https://bhsuyellowjackets.com,
Blackburn,D3,SLIAC,NO_BASEBALL,No baseball references found on athletics site,https://blackburnathletics.com,
Bloomfield,D2,CACC,REDIRECT_DOMAIN,Redirects to www.bloomfieldathletics.com (was bloomfieldathletics.com),https://bloomfieldathletics.com,https://www.bloomfieldathletics.com
Bowie St.,D2,CIAA,NO_BASEBALL,No baseball references found on athletics site,https://bsubulldogs.com,
Brockport,D3,SUNYAC,DNS_DEAD,DNS resolution failed for brockportathletics.com,https://brockportathletics.com,
Brooklyn College,D3,CUNYAC,REDIRECT_DOMAIN,Redirects to www.brooklyncollegeathletics.com (was brooklyncollegeathletics.com),https://brooklyncollegeathletics.com,https://www.brooklyncollegeathletics.com
Bryn Athyn,D3,Centennial,DNS_DEAD,DNS resolution failed for brynathletics.com,https://brynathletics.com,
Buffalo State,D3,SUNYAC,NO_BASEBALL,No baseball references found on athletics site,https://buffalostateathletics.com,
Cal St. Dominguez Hills,D2,CCAA,DNS_DEAD,DNS resolution failed for csudhtorosathletics.com,https://csudhtorosathletics.com,
Cal St. LA,D2,CCAA,NO_BASEBALL,No baseball references found on athletics site,https://calstatela.com/athletics,
Cal St. San Bernardino,D2,CCAA,DNS_DEAD,DNS resolution failed for caborathletics.com,https://caborathletics.com,
Caldwell,D2,CACC,TIMEOUT,Connection timed out (10s),https://caldwellcougars.com,
Cameron,D2,LSC,DNS_DEAD,DNS resolution failed for cameronaggieathletics.com,https://cameronaggieathletics.com,
Capital,D3,OAC,REDIRECT_DOMAIN,Redirects to www.hugedomains.com (was capitalathletics.com),https://capitalathletics.com,https://www.hugedomains.com
Carnegie Mellon,D3,UAA,NO_BASEBALL,No baseball references found on athletics site,https://athletics.cmu.edu,
Case Western Reserve,D3,UAA,BLOCKED,HTTP 404 on homepage,https://cwruspartans.com,
Castleton,D3,NAC,DNS_DEAD,DNS resolution failed for castletonspartans.com,https://castletonspartans.com,
Cazenovia,D3,NEAC,DNS_DEAD,DNS resolution failed for cazathletics.com,https://cazathletics.com,
Cedar Crest,D3,CSAC,NO_BASEBALL,No baseball references found on athletics site,https://cedarcrestathletics.com,
Centenary (NJ),D3,CSAC,DNS_DEAD,DNS resolution failed for centenarygators.com,https://centenarygators.com,
Central (IA),D3,American Rivers,REDIRECT_DOMAIN,Redirects to athletics.central.edu (was central.edu),https://central.edu/athletics,https://athletics.central.edu
Central Oklahoma,D2,MIAA,WRONG_URLS,Baseball content exists but standard roster paths failed,https://bronchoathletics.com,
Chadron St.,D2,RMAC,REDIRECT_DOMAIN,Redirects to www.hugedomains.com (was csceagles.com),https://csceagles.com,https://www.hugedomains.com
Chowan,D2,Conference Carolinas,DNS_DEAD,DNS resolution failed for gochowanhawks.com,https://gochowanhawks.com,
Christian Brothers,D2,GSC,DNS_DEAD,DNS resolution failed for cbubuccaneers.com,https://cbubuccaneers.com,
Christopher Newport,D3,CAC,DNS_DEAD,DNS resolution failed for cnucaptains.com,https://cnucaptains.com,
City Tech,D3,CUNYAC,DNS_DEAD,DNS resolution failed for citytechathletics.com,https://citytechathletics.com,
Claremont-Mudd-Scripps,D3,SCIAC,REDIRECT_DOMAIN,Redirects to cmsathletics.org (was cmsathletics.com),https://cmsathletics.com,https://cmsathletics.org
Clarks Summit,D3,CSAC,DNS_DEAD,DNS resolution failed for csudefenders.com,https://csudefenders.com,
Clayton St.,D2,PBC,NO_BASEBALL,No baseball references found on athletics site,https://claytonstatesports.com,
Colby-Sawyer,D3,GNAC,NO_BASEBALL,No baseball references found on athletics site,https://colbysawyerathletics.com,
Colorado College,D3,SCAC,NO_BASEBALL,No baseball references found on athletics site,https://cctigers.com,
Concordia (MN),D3,MIAC,DNS_DEAD,DNS resolution failed for cobberathletics.com,https://cobberathletics.com,
Concordia (NY),D2,CACC,DNS_DEAD,DNS resolution failed for concordia-ny.edu,https://concordia-ny.edu/athletics,
Concordia (OR),D2,GNAC,DNS_DEAD,DNS resolution failed for gocucavaliers.com,https://gocucavaliers.com,
